user_id,cluster
41,3
224,0
260,2
683,0
785,0
1031,0
1688,7
1977,0
1999,1
2057,0
2394,0
2654,0
2656,0
3032,0
3839,0
3946,6
4018,0
4415,9
5060,0
5242,0
6590,1
7512,0
7567,0
7620,0
9265,0
10178,0
10221,0
10304,0
10345,5
10424,6
10545,0
10580,0
10997,0
11426,0
12159,0
12191,1
12297,2
12301,0
12577,2
12696,0
13413,0
13420,0
13621,2
13696,2
15453,9
17593,0
18103,3
19833,0
21993,2
22203,0
22743,0
23873,4
29283,8
31623,9
35463,0
35653,0
37173,2
43013,0
47643,0
48823,4
49553,0
56873,0
61233,1
62103,8
62373,0
62783,2
68093,3
68853,0
69053,3
69463,2
69583,1
71263,4
72573,0
72883,2
75913,2
78283,0
78433,0
78663,0
78863,2
80763,0
81973,0
101353,0
101653,9
128163,2
246103,1
310623,0
316103,2
336113,2
356683,4
363033,1
403823,2
428333,0
434703,4
463463,0
476083,0
574253,2
588743,2
589683,6
607093,0
607843,0
609663,1
610803,0
611953,0
612473,1
614853,0
615513,2
615663,0
620333,0
621533,1
622113,0
622123,0
624413,8
637293,0
638473,0
639673,0
641133,0
641233,0
643223,0
645943,6
646913,0
647233,1
647553,3
650223,0
652033,0
654203,9
655343,0
656933,2
658643,0
660103,0
661143,0
661173,3
661403,0
664253,0
666593,2
668563,6
673213,0
674853,0
677703,8
678033,9
678403,0
678503,0
684283,5
684993,0
691043,2
691073,0
695873,0
697353,0
697523,0
698923,2
702363,0
702993,9
709313,0
710773,3
715003,0
716463,0
721373,3
726413,0
729493,0
731253,0
735773,0
737243,2
737413,0
741283,5
742143,0
745183,0
749863,6
750243,2
754559,0
754607,0
754753,0
754957,0
755019,0
755113,0
755459,6
755504,0
755638,0
755959,0
756302,0
756426,0
756467,0
756596,2
758051,0
758073,2
758599,5
759251,4
759948,0
761331,0
761443,0
761960,0
761975,2
762938,6
768814,0
770027,2
771904,0
772286,0
772673,0
772982,8
772983,0
774675,0
775142,2
775407,0
776002,0
776052,4
776747,2
777070,0
777554,6
777817,0
778086,2
778112,0
778150,0
780262,3
781562,3
781813,0
783036,0
784999,0
786016,0
786330,2
786561,0
786764,0
788098,0
788524,2
788563,0
792676,0
794676,0
794808,3
797206,0
797805,1
797970,0
797981,8
798286,0
798556,0
800835,0
801607,0
801852,4
801917,9
806117,0
806297,0
807095,2
807696,6
807717,0
807945,3
808138,2
808608,3
808928,0
809183,0
810719,1
811377,0
812651,0
813039,0
813286,0
814789,0
817204,0
817386,0
817645,2
817652,3
818155,0
818614,0
818805,0
820694,0
821025,0
821877,0
821978,0
822659,0
822811,5
823098,0
823115,0
823748,0
824157,0
824207,5
833071,0
839271,0
839561,9
847761,0
849101,0
849201,0
854291,0
854441,2
854771,0
854841,0
855191,0
855601,0
858201,0
860851,0
865521,0
868651,0
876651,0
888621,0
890571,0
891261,0
891991,0
892141,7
895761,0
899041,1
901371,0
910281,0
912581,2
912871,8
917131,0
920861,0
923231,0
923521,5
925611,2
926601,0
929011,0
930881,9
937421,2
937561,0
943181,3
946761,0
950531,0
953491,2
954821,0
957911,0
961931,0
970471,0
971661,4
972651,0
973531,0
975691,0
980611,5
987681,0
989231,0
989821,0
991211,2
994761,0
1002351,0
1002731,0
1006511,0
1010181,2
1018921,0
1025521,0
1035491,0
1039531,3
1044241,0
1048911,5
1049171,9
1049321,3
1050111,9
1053801,2
1054431,0
1058591,0
1062161,0
1063321,0
1068831,2
1100661,2
1101791,0
1113271,0
1125861,1
1129871,0
1140451,0
1153701,0
1158961,1
1160431,0
1170321,2
1171251,2
1175221,5
1188301,0
1192491,9
1218261,0
1226311,0
1233091,6
1240201,0
1240341,0
1241061,0
1253661,0
1270191,0
1285451,0
1289321,0
1291131,1
1295851,3
1300991,6
1307791,0
1308241,0
1318391,2
1325181,0
1326391,3
1331061,0
1340011,0
1341081,0
1343871,0
1344951,0
1356241,0
1365971,4
1367531,8
1371771,0
1384991,0
1387211,0
1387401,0
1388561,2
1388661,8
1391041,0
1394361,0
1417131,0
1421741,2
1429761,3
1433881,0
1434781,0
1437671,7
1440641,8
1449561,0
1449701,9
1454601,0
1463111,5
1465481,0
1473431,0
1477971,5
1492801,0
1510621,7
1513921,0
1518261,0
1531811,0
1536811,3
1538831,0
1547221,2
1552191,0
1584901,0
1598011,0
1598681,2
1619841,7
1639601,0
1649751,0
1652541,4
1653051,8
1661651,0
1662891,5
1665531,0
1665741,2
1671651,0
1674491,1
1680681,3
1687071,0
1688461,1
1689421,0
1691151,0
1698941,0
1703251,0
1709701,0
1716121,0
1720501,3
1731811,1
1742701,5
1744401,1
1754641,0
1758991,5
1759181,5
1766561,0
1767741,0
1769551,0
1775051,0
1781551,0
1783481,0
1808851,0
1815401,8
1815971,0
1824181,2
1828691,2
1862751,0
1866711,1
1874351,0
1877831,3
1891241,0
1906951,0
1912641,0
1917731,4
1919921,8
1932131,0
1935301,0
1945921,3
1947301,3
1966551,0
1968931,2
1980011,0
1994321,0
2012421,0
2021501,0
2029651,0
2030711,2
2047211,2
2052851,0
2056741,2
2059051,0
2062811,0
2064101,8
2065391,0
2066851,1
2066991,3
2067661,0
2084821,0
2089881,0
2091441,0
2093691,0
2097571,4
2099861,0
2101091,2
2103761,5
2110061,0
2121871,2
2127651,5
2138681,0
2144031,8
2162211,2
2170081,2
2173361,0
2179951,1
2189351,7
2199541,0
2212361,6
2213981,0
2223571,0
2232041,0
2234711,7
2241411,2
2243161,0
2249531,0
2273261,0
2295761,0
2305311,6
2310651,3
2318461,5
2326481,0
2328401,0
2331061,0
2331351,9
2334141,2
2355381,3
2357251,0
2359881,0
2366681,2
2367271,0
2373551,0
2425231,2
2444931,0
2467791,0
2488541,0
2518321,0
2527401,0
2554001,0
2554741,0
2567531,0
2570001,0
2575931,0
2579501,0
2580061,0
2581831,1
2612551,0
2622731,0
2628031,0
2705891,0
2720811,0
2729061,0
2768501,1
2770511,6
2775981,0
2791821,0
2816371,0
2831591,0
2831921,2
2836421,8
2854481,6
2884771,0
2902121,0
2910971,0
2923751,0
2955691,8
2968541,3
2971791,0
2992751,0
2996801,8
3021611,0
3042711,0
3056391,0
3058971,0
3103641,0
3105371,0
3108351,4
3122211,0
3129331,4
3129591,0
3135241,5
3137331,0
3137941,2
3148461,5
3155161,0
3201801,0
3218781,8
3220721,0
3221271,0
3231091,0
3242121,0
3250301,0
3250841,0
3253671,0
3259781,0
3265621,0
3267891,0
3282051,0
3305661,9
3308171,0
3310571,2
3330601,6
3346451,2
3349241,7
3351301,0
3351671,1
3370001,2
3370011,2
3377241,0
3382771,0
3386181,0
3397081,0
3404321,4
3421641,0
3422711,0
3441541,0
3457881,0
3460751,0
3487151,3
3487621,0
3491571,0
3497941,5
3520741,0
3526811,0
3530131,0
3538101,0
3552991,0
3554911,0
3577301,4
3584781,0
3584991,0
3588091,8
3601921,0
3608731,3
3622731,0
3632831,4
3657871,5
3662331,2
3704391,0
3722601,1
3753611,2
3761241,0
3764301,2
3770721,0
3771431,0
3779321,9
3798271,0
3800771,8
3814511,2
3817401,0
3822121,0
3830061,0
3840981,0
3843531,0
3847661,0
3853851,0
3888351,0
3918621,0
3922921,0
3924841,0
3925681,0
3930491,0
3940871,0
3942881,0
3943871,0
3952791,0
3969841,0
3971351,0
4012581,0
4021801,0
4057811,0
4063411,0
4068821,0
4072401,0
4075241,0
4075431,0
4078411,0
4119741,3
4142081,0
4170491,0
4185591,2
4205051,2
4207961,0
4209711,6
4212061,0
4213571,5
4215881,1
4217621,0
4233671,0
4236661,3
4265721,0
4268421,6
4269111,2
4277191,0
4278111,0
4282171,0
4300791,0
4324751,0
4333991,0
4341601,0
4358701,0
4390331,5
4410691,7
4411941,0
4421381,3
4423381,0
4426271,3
4432331,8
4441591,0
4442081,0
4443261,2
4454791,0
4465521,0
4500691,2
4507521,0
4517951,0
4522621,0
4528691,0
4556491,0
4574161,0
4580381,9
4594941,0
4611891,0
4619331,0
4620451,0
4621821,2
4637891,3
4753961,9
4764931,0
4769571,0
4821041,0
4839151,9
4840201,8
4841741,0
4863241,2
4877091,0
4886591,0
4893411,2
4898091,0
4898301,0
4899651,4
4902931,2
4902991,0
4922631,0
4923811,0
4925091,1
4937061,0
4967421,0
4970411,4
4975841,0
4993981,0
5010731,0
5031281,8
5044041,0
5058291,0
5066391,0
5109691,0
5121051,0
5127621,0
5145071,0
